Critic,Movie,Movie_Fresh,Movie_Rotten
PJ Nabarro,1,0,1
Charlie Ridgely,1,1,0
Olly Richards,1,1,0
Oliver Whitney,1,1,0
Charlotte O'Sullivan,1,1,0
Odie Henderson,1,0,1
Noah Gittell,1,1,0
Noah Berlatsky,1,1,0
Chris Agar,1,1,0
Nicols Ruiz,1,1,0
Chris Barsanti,1,1,0
Nicole Homer,1,0,1
Nick Schager,1,0,1
Nick Pinkerton,1,0,1
Nick Hasted,1,1,0
Chris Gore,1,1,0
Neil Smith,1,1,0
Ned Lannamann,1,0,1
Christina Newland,1,1,0
Nathan Smith,1,0,1
Nathalie Atkinson,1,1,0
Daniel Neman,1,0,1
Danny Hensel,1,0,1
Lael Loewenstein,1,1,0
Dennis Lim,1,1,0
Louis Proyect,1,0,1
Lisa Nesselson,1,1,0
Lisa Kennedy,1,0,1
Deborah Sengupta Stith,1,1,0
Lisa Jensen,1,1,0
Lindsey Bahr,1,0,1
Dennis Harvey,1,0,1
Liam Lacey,1,0,1
Liam Hanlon,1,1,0
Li Lai,1,1,0
Lewis Knight,1,1,0
Leonardo Garcia Tsao,1,1,0
Lena Wilson,1,0,1
Leigh Monson,1,0,1
Matthew Aguilar,1,1,0
Derek Smith,1,0,1
Lawrence Ware,1,0,1
Diana Cheng,1,1,0
Lauren Coates,1,1,0
Lauren Bradshaw,1,1,0
Laura Potier,1,1,0
Laura Harding,1,0,1
Laura Griffiths,1,0,1
Laura Delaney,1,0,1
Laura DeMarco,1,1,0
Diane Pershing,1,1,0
Lapacazo Sandoval,1,1,0
Lana Stanczak,1,1,0
Louise Burrell,1,1,0
Louise Keller,1,1,0
Lucero Caldern,1,1,0
Luis Caviaro,1,1,0
Danny Leigh,1,0,1
Matt Rodgers,1,1,0
Dave Calhoun,1,1,0
Matt Miller,1,0,1
Matt Looker,1,1,0
Matt Hudson,1,1,0
David Harris,1,1,0
Martin Tsai,1,1,0
David Keyes,1,0,1
Martha K. Baker,1,1,0
Marta Sanz,1,1,0
Marlow Stern,1,1,0
David Levesley,1,1,0
Mark Keizer,1,1,0
Mark Jenkins,1,1,0
David N. Butterworth,1,1,0
Mark Goodyear,1,1,0
Mark Feeney,1,1,0
Mark Ellis,1,1,0
Mariona Borrull,1,1,0
Marie Asner,1,1,0
Margot Harrison,1,0,1
Marcelo Stiletano,1,1,0
Manzanares de la Rosa,1,1,0
Manu Yez,1,1,0
Luther de Lange,1,1,0
Luiz Oliveira,1,1,0
Justin Brown,1,1,0
